id,category,risk,impact,probability,severity,owner,mitigation,trigger,status
RISK-001,License,MinIO AGPL-3.0 obligations may be incompatible with target commercial/private deployment,Legal blocker or forced object-store replacement,Medium,Critical,Legal + Security,Complete legal review decide commercial license or S3-compatible replacement before Beta,No legal approval by P4-03,Open
RISK-002,SupplyChain,MinIO public Docker image cadence differs from latest source tags,Security patch lag or unreproducible deployment,Medium,High,SRE + Security,Pin available image digest for dev and decide source build or supported distribution before Beta,No supported image path by P1-03,Open
RISK-003,Authorization,SpiceDB relationships lag behind PostgreSQL canonical state,Incorrect allow or deny on newly changed resources,Medium,Critical,Backend,Use transactional outbox idempotency dead letter alerts and fail closed for sensitive operations,Outbox lag exceeds threshold or dead letters appear,Open
RISK-004,Authorization,SpiceDB schema over-grants across org/team/project boundaries,Cross-tenant or cross-team data exposure,Low,Critical,Backend + Security,Maintain zed positive/negative fixtures and require schema CI on every change,Any deny fixture fails,Open
RISK-005,Memory,personal memory leaks into another member context,Data leakage incident and GA blocker,Medium,Critical,Runtime + QA,SQL scope filters owner-only SpiceDB permission and isolation test suite,Any cross-member recall succeeds,Open
RISK-006,Memory,team_shared memory leaks across organizations during pgvector search,Cross-tenant data leakage,Medium,Critical,Runtime + Backend,Always pre-filter by org/team candidates before vector ranking and batch SpiceDB check after,Any cross-org recall succeeds,Open
RISK-007,Performance,pgvector query latency exceeds memory prefetch P95 budget,Slow chat startup and poor pilot acceptance,Medium,High,Backend + SRE,Add HNSW baseline candidate limits and performance dashboard,Prefetch P95 > 500ms in P4 load test,Open
RISK-008,Runtime,Hermes core patches for team_context or tool hooks regress existing CLI/gateway behavior,Core product regression and slow merge,Medium,High,Runtime,Keep patches minimal feature-gated and covered by existing tests plus team tests,Existing gateway/API tests fail after P2 patches,Open
RISK-009,Security,API Server trusted identity headers can be spoofed outside Team Cloud boundary,Privilege escalation,Medium,Critical,Backend + Security,Accept identity headers only from mTLS/service-token trusted path and fail closed by default,Header spoofing security test succeeds,Open
RISK-010,Tools,High-risk tool calls bypass TeamToolPolicyHook through alternate execution path,Unauthorized file/terminal/destructive action,Medium,Critical,Runtime + Security,Hook agent/tool executor paths and audit all tool calls before execution,Bypass test executes blocked tool,Open
RISK-011,BackupRestore,Personal backup restore overwrites newer memory without user confirmation,Data loss,Low,High,Runtime + SRE,Restore preview staging conflict policy and user confirmation before execute,Restore test overwrites unconfirmed memory,Open
RISK-012,Dependency,Optional psycopg LGPL-3.0-only dependency enters default runtime without review,License compliance issue,Low,Medium,Backend + Legal,Use asyncpg by default and require legal review before psycopg default inclusion,pyproject adds psycopg outside optional path,Open
